SymbolName	Axes.M2K4 rY.ActPos	SymbolName	Axes.M2K4 rY.SetPos	SymbolName	Axes.M2K4 rY.PosDiff	SymbolName	Axes.M3K4 rX.ActPos	SymbolName	Axes.M3K4 rX.SetPos	SymbolName	Axes.M3K4 rX.PosDiff
NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1
Port	501	Port	501	Port	501	Port	501	Port	501	Port	501
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0


78	14396,523880000023	78	14396,620144000015	78	0	78	-11786,253179000007	78	-11786,229986000006	78	0
80	14396,566664000013	80	14396,620144000015	80	0	80	-11786,263487000004	80	-11786,229986000006	80	0
82	14396,577360000025	82	14396,620144000015	82	0	82	-11786,263487000004	82	-11786,229986000006	82	0
84	14396,668276000011	84	14396,620144000015	84	0	84	-11786,271218000009	84	-11786,229986000006	84	0
86	14396,614796000009	86	14396,620144000015	86	0	86	-11786,24287100001	86	-11786,229986000006	86	0
88	14396,518532000016	88	14396,620144000015	88	0	88	-11786,235140000004	88	-11786,229986000006	88	0
90	14396,577360000025	90	14396,620144000015	90	0	90	-11786,248025000008	90	-11786,229986000006	90	0
92	14396,620144000015	92	14396,620144000015	92	0	92	-11786,211947000003	92	-11786,229986000006	92	0
94	14396,59875200002	94	14396,620144000015	94	0	94	-11786,258333000005	94	-11786,229986000006	94	0
96	14396,566664000013	96	14396,620144000015	96	0	96	-11786,253179000007	96	-11786,229986000006	96	0
98	14396,588056000008	98	14396,620144000015	98	0	98	-11786,258333000005	98	-11786,229986000006	98	0
100	14396,625492000021	100	14396,620144000015	100	0	100	-11786,232563000012	100	-11786,229986000006	100	0
102	14396,609448000032	102	14396,620144000015	102	0	102	-11786,255756000013	102	-11786,229986000006	102	0
104	14396,593404000014	104	14396,620144000015	104	0	104	-11786,224832000007	104	-11786,229986000006	104	0
106	14396,620144000015	106	14396,620144000015	106	0	106	-11786,258333000005	106	-11786,229986000006	106	0
108	14396,59875200002	108	14396,620144000015	108	0	108	-11786,26606400001	108	-11786,229986000006	108	0
110	14396,550620000024	110	14396,620144000015	110	0	110	-11786,278949	110	-11786,229986000006	110	0
112	14396,657580000028	112	14396,620144000015	112	0	112	-11786,235140000004	112	-11786,229986000006	112	0
114	14396,545272000018	114	14396,620144000015	114	0	114	-11786,237717000011	114	-11786,229986000006	114	0
116	14396,550620000024	116	14396,620144000015	116	0	116	-11786,258333000005	116	-11786,229986000006	116	0
118	14396,55596800003	118	14396,620144000015	118	0	118	-11786,21452400001	118	-11786,229986000006	118	0
120	14396,614796000009	120	14396,620144000015	120	0	120	-11786,229986000006	120	-11786,229986000006	120	0
122	14396,604100000026	122	14396,620144000015	122	0	122	-11786,248025000008	122	-11786,229986000006	122	0
124	14396,609448000032	124	14396,620144000015	124	0	124	-11786,248025000008	124	-11786,229986000006	124	0
126	14396,64153600001	126	14396,620144000015	126	0	126	-11786,235140000004	126	-11786,229986000006	126	0
128	14396,577360000025	128	14396,620144000015	128	0	128	-11786,250602	128	-11786,229986000006	128	0
130	14396,609448000032	130	14396,620144000015	130	0	130	-11786,235140000004	130	-11786,229986000006	130	0
132	14396,523880000023	132	14396,620144000015	132	0	132	-11786,229986000006	132	-11786,229986000006	132	0
134	14396,566664000013	134	14396,620144000015	134	0	134	-11786,24287100001	134	-11786,229986000006	134	0
136	14396,572012000019	136	14396,620144000015	136	0	136	-11786,248025000008	136	-11786,229986000006	136	0
138	14396,572012000019	138	14396,620144000015	138	0	138	-11786,229986000006	138	-11786,229986000006	138	0
140	14396,630840000027	140	14396,620144000015	140	0	140	-11786,235140000004	140	-11786,229986000006	140	0
142	14396,529228000029	142	14396,620144000015	142	0	142	-11786,24287100001	142	-11786,229986000006	142	0
144	14396,662928000005	144	14396,620144000015	144	0	144	-11786,237717000011	144	-11786,229986000006	144	0
146	14396,566664000013	146	14396,620144000015	146	0	146	-11786,196485000008	146	-11786,229986000006	146	0
148	14396,577360000025	148	14396,620144000015	148	0	148	-11786,248025000008	148	-11786,229986000006	148	0
150	14396,620144000015	150	14396,620144000015	150	0	150	-11786,258333000005	150	-11786,229986000006	150	0
152	14396,609448000032	152	14396,620144000015	152	0	152	-11786,263487000004	152	-11786,229986000006	152	0
154	14396,625492000021	154	14396,620144000015	154	0	154	-11786,229986000006	154	-11786,229986000006	154	0
156	14396,625492000021	156	14396,620144000015	156	0	156	-11786,245448000002	156	-11786,229986000006	156	0
158	14396,604100000026	158	14396,620144000015	158	0	158	-11786,278949	158	-11786,229986000006	158	0
160	14396,636188000004	160	14396,620144000015	160	0	160	-11786,227409000014	160	-11786,229986000006	160	0
162	14396,614796000009	162	14396,620144000015	162	0	162	-11786,260910000012	162	-11786,229986000006	162	0
164	14396,518532000016	164	14396,620144000015	164	0	164	-11786,24287100001	164	-11786,229986000006	164	0
166	14396,497140000021	166	14396,620144000015	166	0	166	-11786,302142	166	-11786,229986000006	166	0
168	14396,582708000031	168	14396,620144000015	168	0	168	-11786,253179000007	168	-11786,229986000006	168	0
170	14396,582708000031	170	14396,620144000015	170	0	170	-11786,240294000003	170	-11786,229986000006	170	0
172	14396,51318400001	172	14396,620144000015	172	0	172	-11786,224832000007	172	-11786,229986000006	172	0
174	14396,625492000021	174	14396,620144000015	174	0	174	-11786,245448000002	174	-11786,229986000006	174	0
176	14396,630840000027	176	14396,620144000015	176	0	176	-11786,227409000014	176	-11786,229986000006	176	0
178	14396,588056000008	178	14396,620144000015	178	0	178	-11786,255756000013	178	-11786,229986000006	178	0
180	14396,604100000026	180	14396,620144000015	180	0	180	-11786,240294000003	180	-11786,229986000006	180	0
182	14396,550620000024	182	14396,620144000015	182	0	182	-11786,271218000009	182	-11786,229986000006	182	0
184	14396,588056000008	184	14396,620144000015	184	0	184	-11786,232563000012	184	-11786,229986000006	184	0
186	14396,539924000012	186	14396,620144000015	186	0	186	-11786,255756000013	186	-11786,229986000006	186	0
188	14396,636188000004	188	14396,620144000015	188	0	188	-11786,229986000006	188	-11786,229986000006	188	0
190	14396,657580000028	190	14396,620144000015	190	0	190	-11786,255756000013	190	-11786,229986000006	190	0
192	14396,636188000004	192	14396,620144000015	192	0	192	-11786,268641000002	192	-11786,229986000006	192	0
194	14396,588056000008	194	14396,620144000015	194	0	194	-11786,26606400001	194	-11786,229986000006	194	0
196	14396,577360000025	196	14396,620144000015	196	0	196	-11786,245448000002	196	-11786,229986000006	196	0
198	14396,55596800003	198	14396,620144000015	198	0	198	-11786,240294000003	198	-11786,229986000006	198	0
200	14396,55596800003	200	14396,620144000015	200	0	200	-11786,268641000002	200	-11786,229986000006	200	0
202	14396,657580000028	202	14396,620144000015	202	0	202	-11786,229986000006	202	-11786,229986000006	202	0
204	14396,668276000011	204	14396,620144000015	204	0	204	-11786,271218000009	204	-11786,229986000006	204	0
206	14396,539924000012	206	14396,620144000015	206	0	206	-11786,263487000004	206	-11786,229986000006	206	0
208	14396,652232000022	208	14396,620144000015	208	0	208	-11786,232563000012	208	-11786,229986000006	208	0
210	14396,59875200002	210	14396,620144000015	210	0	210	-11786,237717000011	210	-11786,229986000006	210	0
212	14396,59875200002	212	14396,620144000015	212	0	212	-11786,229986000006	212	-11786,229986000006	212	0
214	14396,630840000027	214	14396,620144000015	214	0	214	-11786,232563000012	214	-11786,229986000006	214	0
216	14396,593404000014	216	14396,620144000015	216	0	216	-11786,268641000002	216	-11786,229986000006	216	0
218	14396,630840000027	218	14396,620144000015	218	0	218	-11786,26606400001	218	-11786,229986000006	218	0
220	14396,646884000016	220	14396,620144000015	220	0	220	-11786,237717000011	220	-11786,229986000006	220	0
222	14396,609448000032	222	14396,620144000015	222	0	222	-11786,240294000003	222	-11786,229986000006	222	0
224	14396,620144000015	224	14396,620144000015	224	0	224	-11786,24287100001	224	-11786,229986000006	224	0
226	14396,636188000004	226	14396,620144000015	226	0	226	-11786,258333000005	226	-11786,229986000006	226	0
228	14396,51318400001	228	14396,620144000015	228	0	228	-11786,245448000002	228	-11786,229986000006	228	0
230	14396,609448000032	230	14396,620144000015	230	0	230	-11786,245448000002	230	-11786,229986000006	230	0
232	14396,588056000008	232	14396,620144000015	232	0	232	-11786,255756000013	232	-11786,229986000006	232	0
234	14396,572012000019	234	14396,620144000015	234	0	234	-11786,219678000009	234	-11786,229986000006	234	0
236	14396,491792000015	236	14396,620144000015	236	0	236	-11786,271218000009	236	-11786,229986000006	236	0
238	14396,593404000014	238	14396,620144000015	238	0	238	-11786,24287100001	238	-11786,229986000006	238	0
240	14396,588056000008	240	14396,620144000015	240	0	240	-11786,248025000008	240	-11786,229986000006	240	0
242	14396,55596800003	242	14396,620144000015	242	0	242	-11786,235140000004	242	-11786,229986000006	242	0
244	14396,646884000016	244	14396,620144000015	244	0	244	-11786,268641000002	244	-11786,229986000006	244	0
246	14396,609448000032	246	14396,620144000015	246	0	246	-11786,271218000009	246	-11786,229986000006	246	0
248	14396,59875200002	248	14396,620144000015	248	0	248	-11786,260910000012	248	-11786,229986000006	248	0
